route_number,origin,destination,stop_sequence,stop_name
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,1,Bhubaneswar Railway Station
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,2,Raj Mahal Square
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,3,State Museum
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,4,Ravi Talkies
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,5,Dhauli Square
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,6,Uttara Square
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,7,Pipili Bypass
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,8,Pipili Over Bridge Square
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,9,Satasankha
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,10,Sakhigopal
DD1,Bhubaneswar Railway Station,Jagannath Ballav Parking,11,Jagannath Ballav Parking
9 UP,Bhubaneswar Railway Station,Patia Square,1,Bhubaneswar Rly. Stn.
9 UP,Bhubaneswar Railway Station,Patia Square,2,Master Canteen (Janpath)
9 UP,Bhubaneswar Railway Station,Patia Square,3,Abhin Chandra Homoeopathic Hospital
9 UP,Bhubaneswar Railway Station,Patia Square,4,OSSA House
9 UP,Bhubaneswar Railway Station,Patia Square,5,Keshari Talkies
9 UP,Bhubaneswar Railway Station,Patia Square,6,Housing Board Sq.
9 UP,Bhubaneswar Railway Station,Patia Square,7,Xavier Sq.
9 UP,Bhubaneswar Railway Station,Patia Square,8,Rotary Bhawan
9 UP,Bhubaneswar Railway Station,Patia Square,9,Nico Park Sq.
9 UP,Bhubaneswar Railway Station,Patia Square,10,Ananda Bazaar
9 UP,Bhubaneswar Railway Station,Patia Square,11,Acharya Vihar Sq.
9 UP,Bhubaneswar Railway Station,Patia Square,12,IMMT
9 UP,Bhubaneswar Railway Station,Patia Square,13,Jaydev Vihar Sq.
9 UP,Bhubaneswar Railway Station,Patia Square,14,Pal Heights
9 UP,Bhubaneswar Railway Station,Patia Square,15,Mayfair Road
9 UP,Bhubaneswar Railway Station,Patia Square,16,Janata Maidan
9 UP,Bhubaneswar Railway Station,Patia Square,17,Xavier Sq.
9 UP,Bhubaneswar Railway Station,Patia Square,18,Fortune Tower
9 UP,Bhubaneswar Railway Station,Patia Square,19,Kalinga Hospital Sq.
9 UP,Bhubaneswar Railway Station,Patia Square,20,Rail Sadan
9 UP,Bhubaneswar Railway Station,Patia Square,21,Omfed Sq.
9 UP,Bhubaneswar Railway Station,Patia Square,22,BDA Colony
9 UP,Bhubaneswar Railway Station,Patia Square,23,Care Hospital
9 UP,Bhubaneswar Railway Station,Patia Square,24,Lumbini Vihar
9 UP,Bhubaneswar Railway Station,Patia Square,25,Budha Park
9 UP,Bhubaneswar Railway Station,Patia Square,26,Isaneswar Temple
9 UP,Bhubaneswar Railway Station,Patia Square,27,Defence Colony
9 UP,Bhubaneswar Railway Station,Patia Square,28,Utkal Hospital
9 UP,Bhubaneswar Railway Station,Patia Square,29,Niladri Vihar Basti
9 UP,Bhubaneswar Railway Station,Patia Square,30,Power Grid Sq.
9 UP,Bhubaneswar Railway Station,Patia Square,31,Niladri Vihar Hanuman Temple
9 UP,Bhubaneswar Railway Station,Patia Square,32,Kailash Vihar
9 UP,Bhubaneswar Railway Station,Patia Square,33,Sai Enclave
9 UP,Bhubaneswar Railway Station,Patia Square,34,Trident College
9 UP,Bhubaneswar Railway Station,Patia Square,35,Infocity Sq.
9 UP,Bhubaneswar Railway Station,Patia Square,36,DLF Cyber City
9 UP,Bhubaneswar Railway Station,Patia Square,37,Silicon College
9 UP,Bhubaneswar Railway Station,Patia Square,38,Shikharchandi
9 UP,Bhubaneswar Railway Station,Patia Square,39,KIMS Hospital
9 UP,Bhubaneswar Railway Station,Patia Square,40,LV Prasad Hospital
9 UP,Bhubaneswar Railway Station,Patia Square,41,Sai International School
9 UP,Bhubaneswar Railway Station,Patia Square,42,CIPET
9 UP,Bhubaneswar Railway Station,Patia Square,43,Koustav College
9 UP,Bhubaneswar Railway Station,Patia Square,44,Patia Sq.
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,1,Manu University (Cuttack)
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,2,Biju Patnaik Park (Cuttack)
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,3,State Bank Square (CDA)
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,4,Justice Square
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,5,Saraswati Shisu Mandir
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,6,Raj Kishor Marg
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,7,CDA 9 Market Square
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,8,CDA 6 Park
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,9,Eye Hospital Square
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,10,Sati Choura Square
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,11,Dagarpada Road
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,12,Judicial Academy
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,13,Kunheipara
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,14,Trisulia Square
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,15,Mandakini Resorts
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,16,Madhuban
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,17,Bachhipur
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,18,Barang Block
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,19,Barang P.S.
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,20,Barang
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,21,Nandankanan
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,22,Nandankanan High School
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,23,Dauladei Temple
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,24,Raghunathpur Village
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,25,Raghunathpur
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,26,Royal Lagoon
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,27,Mani Tribhuvan
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,28,Nandan Vihar
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,29,Sikharchandi Vihar
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,30,KIIT Square
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,31,KIIT Campus
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,32,KIMS Hospital
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,33,Shikharchandi
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,34,Silicon College
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,35,DLF Cyber City
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,36,Infocity Square
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,37,CIPET
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,38,Patia Square
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,39,Chandrashekharpur P.S.
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,40,Damana Square
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,41,Niladri Vihar Square
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,42,Omfed Square
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,43,Rail Sadan
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,44,Kalinga Hospital Square
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,45,Fortune Tower
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,46,Xavier Square
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,47,Janata Maidan
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,48,Mayfair Road
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,49,Pal Heights
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,50,Jaydev Vihar Square
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,51,Kalinga Stadium Gate-8
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,52,Kalinga Stadium Gate-2
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,53,The World
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,54,Shastri Nagar Square
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,55,Sail Office
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,56,Power House Square
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,57,Nautala
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,58,Bhubaneswar Club
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,59,AG Square
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,60,Capital Hospital
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,61,New Airport Square
10,"Manu University, Cuttack",Biju Patnaik Intl. Airport,62,Biju Patnaik Int. Airport
11,Bhubaneswar Rly. Stn.,Nandankanan,1,Bhubaneswar Rly. Stn.
11,Bhubaneswar Rly. Stn.,Nandankanan,2,Master Canteen
11,Bhubaneswar Rly. Stn.,Nandankanan,3,Sriya Square
11,Bhubaneswar Rly. Stn.,Nandankanan,4,Ram Mandir
11,Bhubaneswar Rly. Stn.,Nandankanan,5,Satya Nagar Square
11,Bhubaneswar Rly. Stn.,Nandankanan,6,Satya Nagar
11,Bhubaneswar Rly. Stn.,Nandankanan,7,Maharshi College Square
11,Bhubaneswar Rly. Stn.,Nandankanan,8,Rupali Square
11,Bhubaneswar Rly. Stn.,Nandankanan,9,RD Women's College
11,Bhubaneswar Rly. Stn.,Nandankanan,10,Vani Vihar Square
11,Bhubaneswar Rly. Stn.,Nandankanan,11,Acharya Vihar Square
11,Bhubaneswar Rly. Stn.,Nandankanan,12,Utkal University Gate-4
11,Bhubaneswar Rly. Stn.,Nandankanan,13,Apollo Hospital
11,Bhubaneswar Rly. Stn.,Nandankanan,14,Sainik School Square
11,Bhubaneswar Rly. Stn.,Nandankanan,15,Press Square
11,Bhubaneswar Rly. Stn.,Nandankanan,16,O.S.A.P 7th Battalion
11,Bhubaneswar Rly. Stn.,Nandankanan,17,Kalinga Hospital Square
11,Bhubaneswar Rly. Stn.,Nandankanan,18,Rail Sadan
11,Bhubaneswar Rly. Stn.,Nandankanan,19,Omfed Square
11,Bhubaneswar Rly. Stn.,Nandankanan,20,Niladri Vihar Square
11,Bhubaneswar Rly. Stn.,Nandankanan,21,Damana Square
11,Bhubaneswar Rly. Stn.,Nandankanan,22,Sailashree Vihar Phase 2
11,Bhubaneswar Rly. Stn.,Nandankanan,23,Sailashree Vihar Square
11,Bhubaneswar Rly. Stn.,Nandankanan,24,S. Vihar Jagannath Temple
11,Bhubaneswar Rly. Stn.,Nandankanan,25,Sai Enclave
11,Bhubaneswar Rly. Stn.,Nandankanan,26,Trident College
11,Bhubaneswar Rly. Stn.,Nandankanan,27,Infocity Square
11,Bhubaneswar Rly. Stn.,Nandankanan,28,DLF Cyber City
11,Bhubaneswar Rly. Stn.,Nandankanan,29,Silicon College
11,Bhubaneswar Rly. Stn.,Nandankanan,30,Shikharchandi
11,Bhubaneswar Rly. Stn.,Nandankanan,31,KIMS Hospital
11,Bhubaneswar Rly. Stn.,Nandankanan,32,KIIT Campus
11,Bhubaneswar Rly. Stn.,Nandankanan,33,KIIT Square
11,Bhubaneswar Rly. Stn.,Nandankanan,34,Sikharchandi Vihar
11,Bhubaneswar Rly. Stn.,Nandankanan,35,Nandan Vihar
11,Bhubaneswar Rly. Stn.,Nandankanan,36,Mani Tribhuvan
11,Bhubaneswar Rly. Stn.,Nandankanan,37,Royal Lagoon
11,Bhubaneswar Rly. Stn.,Nandankanan,38,Raghunathpur
11,Bhubaneswar Rly. Stn.,Nandankanan,39,Raghunathpur Village
11,Bhubaneswar Rly. Stn.,Nandankanan,40,Duladei Temple
11,Bhubaneswar Rly. Stn.,Nandankanan,41,Nandankanan High School
11,Bhubaneswar Rly. Stn.,Nandankanan,42,Nandankanan
12,Bhubaneswar Rly. Stn.,Nandankanan,1,Bhubaneswar Rly. Stn.
12,Bhubaneswar Rly. Stn.,Nandankanan,2,Master Canteen
12,Bhubaneswar Rly. Stn.,Nandankanan,3,Sriya Square
12,Bhubaneswar Rly. Stn.,Nandankanan,4,Ram Mandir
12,Bhubaneswar Rly. Stn.,Nandankanan,5,Exhibition Ground
12,Bhubaneswar Rly. Stn.,Nandankanan,6,Housing Board Square
12,Bhubaneswar Rly. Stn.,Nandankanan,7,AG Colony
12,Bhubaneswar Rly. Stn.,Nandankanan,8,Shastri Nagar Square
12,Bhubaneswar Rly. Stn.,Nandankanan,9,The World
12,Bhubaneswar Rly. Stn.,Nandankanan,10,Kalinga Stadium Gate-2
12,Bhubaneswar Rly. Stn.,Nandankanan,11,Kalinga Stadium Gate-8
12,Bhubaneswar Rly. Stn.,Nandankanan,12,Jaydev Vihar Square
12,Bhubaneswar Rly. Stn.,Nandankanan,13,Pal Heights
12,Bhubaneswar Rly. Stn.,Nandankanan,14,Mayfair Road
12,Bhubaneswar Rly. Stn.,Nandankanan,15,Janata Maidan
12,Bhubaneswar Rly. Stn.,Nandankanan,16,Xavier Square
12,Bhubaneswar Rly. Stn.,Nandankanan,17,Fortune Tower
12,Bhubaneswar Rly. Stn.,Nandankanan,18,Kalinga Hospital Square
12,Bhubaneswar Rly. Stn.,Nandankanan,19,Rail Sadan
12,Bhubaneswar Rly. Stn.,Nandankanan,20,Omfed Square
12,Bhubaneswar Rly. Stn.,Nandankanan,21,Niladri Vihar Square
12,Bhubaneswar Rly. Stn.,Nandankanan,22,Damana Square
12,Bhubaneswar Rly. Stn.,Nandankanan,23,Chandrashekharpur P.S.
12,Bhubaneswar Rly. Stn.,Nandankanan,24,Patia Square
12,Bhubaneswar Rly. Stn.,Nandankanan,25,Koel Campus
12,Bhubaneswar Rly. Stn.,Nandankanan,26,Kanan Vihar Phase-2
12,Bhubaneswar Rly. Stn.,Nandankanan,27,KIIT Square
12,Bhubaneswar Rly. Stn.,Nandankanan,28,Sikharchandi Vihar
12,Bhubaneswar Rly. Stn.,Nandankanan,29,Nandan Vihar
12,Bhubaneswar Rly. Stn.,Nandankanan,30,Mani Tribhuvan
12,Bhubaneswar Rly. Stn.,Nandankanan,31,Royal Lagoon
12,Bhubaneswar Rly. Stn.,Nandankanan,32,Raghunathpur
12,Bhubaneswar Rly. Stn.,Nandankanan,33,Raghunathpur Village
12,Bhubaneswar Rly. Stn.,Nandankanan,34,Duladei Temple
12,Bhubaneswar Rly. Stn.,Nandankanan,35,Nandankanan High School
12,Bhubaneswar Rly. Stn.,Nandankanan,36,Nandankanan
13,Nandankanan,Lingipur,1,Nandankanan
13,Nandankanan,Lingipur,2,Nandankanan High School
13,Nandankanan,Lingipur,3,Duladei Temple
13,Nandankanan,Lingipur,4,Raghunathpur Village
13,Nandankanan,Lingipur,5,Raghunathpur
13,Nandankanan,Lingipur,6,Royal Lagoon
13,Nandankanan,Lingipur,7,Mani Tribhuvan
13,Nandankanan,Lingipur,8,Nandan Vihar
13,Nandankanan,Lingipur,9,Sikharchandi Vihar
13,Nandankanan,Lingipur,10,KIIT Square
13,Nandankanan,Lingipur,11,KIIT Campus
13,Nandankanan,Lingipur,12,KIMS Hospital
13,Nandankanan,Lingipur,13,Shikharchandi
13,Nandankanan,Lingipur,14,Silicon College
13,Nandankanan,Lingipur,15,DLF Cyber City
13,Nandankanan,Lingipur,16,Infocity Square
13,Nandankanan,Lingipur,17,Trident College
13,Nandankanan,Lingipur,18,Sai Enclave
13,Nandankanan,Lingipur,19,S. Vihar Jagannath Temple
13,Nandankanan,Lingipur,20,Sailashree Vihar Sq.
13,Nandankanan,Lingipur,21,Sailashree Vihar Phase 2
13,Nandankanan,Lingipur,22,Damana Square
13,Nandankanan,Lingipur,23,Niladri Vihar Sq.
13,Nandankanan,Lingipur,24,Omfed Sq.
13,Nandankanan,Lingipur,25,Rail Sadan
13,Nandankanan,Lingipur,26,Kalinga Hospital Sq.
13,Nandankanan,Lingipur,27,O.S.A.P 7th Battalion
13,Nandankanan,Lingipur,28,Press Sq.
13,Nandankanan,Lingipur,29,Sainik School Sq.
13,Nandankanan,Lingipur,30,Apollo Hospital
13,Nandankanan,Lingipur,31,Utkal University Gate-4
13,Nandankanan,Lingipur,32,Acharya Vihar Sq.
13,Nandankanan,Lingipur,33,Ananda Bazaar
13,Nandankanan,Lingipur,34,Nicco Park Sq.
13,Nandankanan,Lingipur,35,Rotary Bhawan
13,Nandankanan,Lingipur,36,Housing Board Sq.
13,Nandankanan,Lingipur,37,Keshari Talkies
13,Nandankanan,Lingipur,38,Rabindra Mandap
13,Nandankanan,Lingipur,39,Secreteriat
13,Nandankanan,Lingipur,40,AG Square
13,Nandankanan,Lingipur,41,Unit 1 Haat
13,Nandankanan,Lingipur,42,Raj Mahal Sq.
13,Nandankanan,Lingipur,43,Kalpana Sq.
13,Nandankanan,Lingipur,44,State Museum
13,Nandankanan,Lingipur,45,BJB College
13,Nandankanan,Lingipur,46,NCC Canteen
13,Nandankanan,Lingipur,47,Shree Hospital
13,Nandankanan,Lingipur,48,Ravi Talkies
13,Nandankanan,Lingipur,49,Kedar Gouri Temple
13,Nandankanan,Lingipur,50,Gouri Nagar
13,Nandankanan,Lingipur,51,Lingraj Temple Road
13,Nandankanan,Lingipur,52,Mahavir Chowk
13,Nandankanan,Lingipur,53,Samantarapur
13,Nandankanan,Lingipur,54,Nuagaon
13,Nandankanan,Lingipur,55,Sishupalgarh
13,Nandankanan,Lingipur,56,Lingipur
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,1,Kalinga Vihar
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,2,K4 Ekamara Residency
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,3,K4 Square
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,4,Hanuman Mandir
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,5,Tata Ariana
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,6,Anandabana Park
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,7,Vipul Garden
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,8,K7 Kalyan Mandap
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,9,IGKC
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,10,Nuagoan Square
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,11,SUM Hospital
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,12,SUM Ultimate
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,13,K8 Dream Palace
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,14,Valia Square
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,15,CET College
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,16,Naka Gate
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,17,Khandagiribari
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,18,Jayadev Vatika Square
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,19,Jayadev Vatika
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,20,AMRI Hospital
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,21,Satya Sai Enclave
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,22,Binayaka Enclave
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,23,Bank of Baroda (Kolathia)
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,24,Jagannath Temple (Kolathia)
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,25,Kolathia
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,26,Khandagiri Square
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,27,Khandagiri Bypass
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,28,Baramunda BSABT
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,29,Rajdhani College
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,30,Fire Station Square
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,31,Vivekanand Hospital
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,32,Delta Square
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,33,Satabdi Nagar
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,34,City Womens College
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,35,QUAT Square
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,36,QUAT College
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,37,Ganganagar Square
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,38,Unit 6
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,39,New Airport Square
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,40,Capital Hospital
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,41,AG Square
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,42,Unit 1 Haat
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,43,Raj Mahal Square
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,44,Ashok Nagar
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,45,Master Canteen
14,Kalinga Vihar,Bhubaneswar Rly. Stn.,46,Bhubaneswar Railway Station
15E,CNBT,Salia Sahi,1,CNBT
15E,CNBT,Salia Sahi,2,City College
15E,CNBT,Salia Sahi,3,Puri Ghat Police Station
15E,CNBT,Salia Sahi,4,Cuttack Sai Temple
15E,CNBT,Salia Sahi,5,High Court Road
15E,CNBT,Salia Sahi,6,Sishu Bhawan
15E,CNBT,Salia Sahi,7,Judicial Academy
15E,CNBT,Salia Sahi,8,Kunheipara
15E,CNBT,Salia Sahi,9,Trisulia Square
15E,CNBT,Salia Sahi,10,Madhuban
15E,CNBT,Salia Sahi,11,Bachhipur
15E,CNBT,Salia Sahi,12,Baranga Block
15E,CNBT,Salia Sahi,13,Barang Police Station
15E,CNBT,Salia Sahi,14,Barang
15E,CNBT,Salia Sahi,15,Nandankanan
15E,CNBT,Salia Sahi,16,Nandan Kanan High School
15E,CNBT,Salia Sahi,17,Dauladei Temple
15E,CNBT,Salia Sahi,18,Raghunathpur Village
15E,CNBT,Salia Sahi,19,Raghunathpur
15E,CNBT,Salia Sahi,20,Royal Lagoon
15E,CNBT,Salia Sahi,21,Mani Tribhuvan
15E,CNBT,Salia Sahi,22,Nandan Vihar
15E,CNBT,Salia Sahi,23,Sikharchandi Vihar
15E,CNBT,Salia Sahi,24,KIIT Square
15E,CNBT,Salia Sahi,25,KIIT Campus
15E,CNBT,Salia Sahi,26,KIMS Hospital
15E,CNBT,Salia Sahi,27,Shikharchandi
15E,CNBT,Salia Sahi,28,Silicon College
15E,CNBT,Salia Sahi,29,DLF Cyber City
15E,CNBT,Salia Sahi,30,Infocity Square
15E,CNBT,Salia Sahi,31,Trident College
15E,CNBT,Salia Sahi,32,Sai Enclave
15E,CNBT,Salia Sahi,33,S Vihar Jagannath Temple
15E,CNBT,Salia Sahi,34,Tarini Temple
15E,CNBT,Salia Sahi,35,Mangala Mandir
15E,CNBT,Salia Sahi,36,Sailashree Vihar Phase 6
15E,CNBT,Salia Sahi,37,Niladri Vihar Hanuman Temple
15E,CNBT,Salia Sahi,38,Power Grid Square
15E,CNBT,Salia Sahi,39,Niladri Vihar Basti
15E,CNBT,Salia Sahi,40,Utkal Hospital
15E,CNBT,Salia Sahi,41,Budha Vihar Colony
15E,CNBT,Salia Sahi,42,Govt High School (Chandrasekharpur)
15E,CNBT,Salia Sahi,43,Maitree Vihar
15E,CNBT,Salia Sahi,44,Salia Sahi
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,1,Bhubaneswar Railway Station
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,2,Master Canteen Janpath
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,3,Sriya Square
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,4,Ram Mandir
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,5,Satya Nagar Square
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,6,Satya Nagar
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,7,Maharshi College Square
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,8,Rupali Square
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,9,RD Womens College
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,10,Vani Vihar Square
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,11,Satsangha Vihar
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,12,VSS Nagar Road
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,13,Rasulgarh Square
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,14,Palasuni
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,15,Saptasati Temple
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,16,Hi-Tech Hospital Square
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,17,Hanspal Square
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,18,Puri Canal Road
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,19,Highway Honda
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,20,Assotech World
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,21,Vishnu Vihar
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,22,Utkal Heights
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,23,Millenium City
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,24,Pahal
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,25,Sishu Bhawan (Cuttack)
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,26,Apex College
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,27,Sum Hospital Campus 2
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,28,Nakhara Square
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,29,Bamphakuda
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,30,Ramnagar
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,31,Telenga Pentha
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,32,Delta Gada
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,33,Pratap Nagari
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,34,Bhanpur
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,35,Balikuda
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,36,Gopalpur Railway Station
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,37,Khapuria Square
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,38,Link Road
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,39,Nishamani Talkies
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,40,Arundoya Market
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,41,Pala Mandap
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,42,Badambadi Bus Stand
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,43,Badambadi Square
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,44,CNBT
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,45,City College
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,46,Puri Ghat Police Station
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,47,Cuttack Sai Temple
16 UP,Bhubaneswar Rly. Stn.,Sri Sri University,48,High Court Road
